[2024-04-02T14:06:49.741+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22% 20.3M 3s
[2024-04-02T14:06:49.745+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23% 3.02M 3s
[2024-04-02T14:06:49.748+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23% 2.54M 3s
[2024-04-02T14:06:49.752+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  331M 3s
[2024-04-02T14:06:49.755+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23%  284M 3s
[2024-04-02T14:06:49.756+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23% 3.72M 3s
[2024-04-02T14:06:49.758+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23% 12.5M 3s
[2024-04-02T14:06:49.759+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23%  233M 3s
[2024-04-02T14:06:49.761+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23%  372M 3s
[2024-04-02T14:06:49.762+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24% 5.28M 3s
[2024-04-02T14:06:49.764+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24% 8.25M 3s
[2024-04-02T14:06:49.765+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24%  164M 3s
[2024-04-02T14:06:49.766+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24% 15.1M 3s
[2024-04-02T14:06:49.767+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24%  361M 3s
[2024-04-02T14:06:49.773+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  428M 3s
[2024-04-02T14:06:49.774+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24%  277M 3s
[2024-04-02T14:06:49.776+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24% 38.3M 3s
[2024-04-02T14:06:49.777+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25%  251M 3s
[2024-04-02T14:06:49.779+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 25%  345M 3s
[2024-04-02T14:06:49.780+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 25%  308M 3s
