[2024-03-26T08:23:09.809+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14%  256M 7s
[2024-03-26T08:23:09.810+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14%  391M 7s
[2024-03-26T08:23:09.812+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14% 38.3M 7s
[2024-03-26T08:23:09.813+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14% 26.7M 6s
[2024-03-26T08:23:09.815+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  136M 6s
[2024-03-26T08:23:09.818+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14% 31.5M 6s
[2024-03-26T08:23:09.821+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14% 69.1M 6s
[2024-03-26T08:23:09.835+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14% 52.1M 6s
[2024-03-26T08:23:09.837+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14% 49.9M 6s
[2024-03-26T08:23:09.840+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14% 37.8M 6s
[2024-03-26T08:23:09.859+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15% 49.5M 6s
[2024-03-26T08:23:09.860+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15% 61.5M 6s
[2024-03-26T08:23:09.867+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15% 31.0M 6s
[2024-03-26T08:23:09.884+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15% 11.7M 6s
[2024-03-26T08:23:09.895+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15% 48.6M 6s
[2024-03-26T08:23:09.896+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15% 15.0M 6s
[2024-03-26T08:23:09.897+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15% 53.7M 6s
[2024-03-26T08:23:09.897+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15%  300M 6s
[2024-03-26T08:23:09.898+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  341M 6s
[2024-03-26T08:23:09.898+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15% 31.3M 6s
[2024-03-26T08:23:09.899+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16% 35.9M 6s
[2024-03-26T08:23:09.899+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16% 49.6M 6s
[2024-03-26T08:23:09.900+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16%  146M 6s
[2024-03-26T08:23:09.901+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16% 32.1M 6s
