[2024-03-26T16:35:10.188+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11% 12.8M 4s
[2024-03-26T16:35:10.195+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11% 11.2M 4s
[2024-03-26T16:35:10.197+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12% 11.1M 4s
[2024-03-26T16:35:10.205+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12% 25.4M 4s
[2024-03-26T16:35:10.212+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12% 45.2M 4s
[2024-03-26T16:35:10.214+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12% 33.1M 4s
[2024-03-26T16:35:10.220+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12% 58.8M 4s
[2024-03-26T16:35:10.229+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12% 44.3M 4s
[2024-03-26T16:35:10.231+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 4.52M 4s
[2024-03-26T16:35:10.237+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12%  226M 4s
[2024-03-26T16:35:10.237+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12%  330M 4s
[2024-03-26T16:35:10.238+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12%  252M 4s
[2024-03-26T16:35:10.247+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13%  354M 4s
[2024-03-26T16:35:10.258+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13% 4.97M 4s
[2024-03-26T16:35:10.260+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 11.4M 4s
[2024-03-26T16:35:10.260+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13% 8.81M 4s
[2024-03-26T16:35:10.262+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13% 76.8M 4s
[2024-03-26T16:35:10.266+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 4.10M 4s
[2024-03-26T16:35:10.272+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13%  200M 4s
[2024-03-26T16:35:10.274+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13%  110M 4s
[2024-03-26T16:35:10.275+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13% 6.80M 4s
[2024-03-26T16:35:10.276+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13% 28.3M 4s
[2024-03-26T16:35:10.276+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14% 73.8M 4s
[2024-03-26T16:35:10.276+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14%  263M 4s
[2024-03-26T16:35:10.282+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14%  281M 4s
[2024-03-26T16:35:10.283+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14%  230M 4s
[2024-03-26T16:35:10.285+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  250M 4s
[2024-03-26T16:35:10.288+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14%  342M 4s
[2024-03-26T16:35:10.289+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14%  312M 4s
[2024-03-26T16:35:10.294+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14%  264M 4s
[2024-03-26T16:35:10.294+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14%  281M 4s
[2024-03-26T16:35:10.295+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14%  259M 4s
[2024-03-26T16:35:10.295+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15%  212M 4s
[2024-03-26T16:35:10.295+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15%  227M 4s
[2024-03-26T16:35:10.302+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15%  191M 3s
[2024-03-26T16:35:10.302+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15%  230M 3s
[2024-03-26T16:35:10.308+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15%  204M 3s
[2024-03-26T16:35:10.308+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15%  223M 3s
[2024-03-26T16:35:10.309+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15%  269M 3s
[2024-03-26T16:35:10.315+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15%  233M 3s
[2024-03-26T16:35:10.316+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  275M 3s
[2024-03-26T16:35:10.317+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15% 1.62M 3s
[2024-03-26T16:35:10.317+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16% 29.9M 3s
[2024-03-26T16:35:10.317+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16% 12.5M 3s
[2024-03-26T16:35:10.318+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16% 60.6M 3s
[2024-03-26T16:35:10.322+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  354M 3s
[2024-03-26T16:35:10.325+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16%  371M 3s
[2024-03-26T16:35:10.330+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16%  458M 3s
[2024-03-26T16:35:10.331+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16%  338M 3s
[2024-03-26T16:35:10.332+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16%  250M 3s
[2024-03-26T16:35:10.337+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16% 4.99M 3s
[2024-03-26T16:35:10.338+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16% 30.6M 3s
[2024-03-26T16:35:10.338+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17%  173M 3s
[2024-03-26T16:35:10.339+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17%  177M 3s
[2024-03-26T16:35:10.339+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17%  312M 3s
[2024-03-26T16:35:10.340+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17%  233M 3s
[2024-03-26T16:35:10.340+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17%  244M 3s
[2024-03-26T16:35:10.342+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17% 2.31M 3s
[2024-03-26T16:35:10.343+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17% 93.6M 3s
[2024-03-26T16:35:10.347+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17%  446M 3s
[2024-03-26T16:35:10.350+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17%  350M 3s
[2024-03-26T16:35:10.351+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  486M 3s
[2024-03-26T16:35:10.351+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18% 11.8M 3s
[2024-03-26T16:35:10.352+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18% 11.2M 3s
[2024-03-26T16:35:10.352+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18% 83.6M 3s
[2024-03-26T16:35:10.353+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18%  387M 3s
[2024-03-26T16:35:10.356+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  233M 3s
[2024-03-26T16:35:10.362+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18% 24.1M 3s
[2024-03-26T16:35:10.363+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18% 13.2M 3s
[2024-03-26T16:35:10.365+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18% 20.3M 3s
[2024-03-26T16:35:10.380+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18%  247M 3s
[2024-03-26T16:35:10.399+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18%  421M 3s
[2024-03-26T16:35:10.401+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 5.22M 3s
[2024-03-26T16:35:10.422+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19% 55.8M 3s
[2024-03-26T16:35:10.443+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19%  364M 3s
[2024-03-26T16:35:10.455+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19%  461M 3s
[2024-03-26T16:35:10.490+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 19%  202M 3s
