[2024-03-26T08:23:43.309+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10% 1.46M 9s
[2024-03-26T08:23:43.318+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  237M 9s
[2024-03-26T08:23:43.323+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  295M 8s
[2024-03-26T08:23:43.326+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10%  228M 8s
[2024-03-26T08:23:43.338+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11%  174M 8s
[2024-03-26T08:23:43.356+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 3.66M 8s
[2024-03-26T08:23:43.359+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 16.9M 8s
[2024-03-26T08:23:43.365+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11% 26.2M 8s
[2024-03-26T08:23:43.370+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 58.7M 8s
[2024-03-26T08:23:43.374+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11%  196M 8s
[2024-03-26T08:23:43.379+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11%  269M 8s
[2024-03-26T08:23:43.389+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11%  252M 8s
[2024-03-26T08:23:43.392+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11%  134M 8s
[2024-03-26T08:23:43.394+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11%  380M 8s
[2024-03-26T08:23:43.395+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12%  221M 8s
[2024-03-26T08:23:43.397+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12%  234M 8s
[2024-03-26T08:23:43.401+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12%  216M 8s
[2024-03-26T08:23:43.402+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12%  249M 7s
[2024-03-26T08:23:43.405+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12% 15.3M 7s
[2024-03-26T08:23:43.406+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12% 1016K 8s
[2024-03-26T08:23:43.409+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 57.7M 8s
[2024-03-26T08:23:43.411+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12%  121M 8s
[2024-03-26T08:23:43.412+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12%  329M 7s
[2024-03-26T08:23:43.414+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12%  326M 7s
[2024-03-26T08:23:43.416+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13%  269M 7s
[2024-03-26T08:23:43.418+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13%  317M 7s
[2024-03-26T08:23:43.425+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13%  254M 7s
[2024-03-26T08:23:43.430+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13%  196M 7s
[2024-03-26T08:23:43.432+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13%  311M 7s
[2024-03-26T08:23:43.438+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 20.3M 7s
[2024-03-26T08:23:43.443+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13%  170M 7s
[2024-03-26T08:23:43.448+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13%  234M 7s
[2024-03-26T08:23:43.451+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13% 46.5M 7s
[2024-03-26T08:23:43.452+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13%  206M 7s
[2024-03-26T08:23:43.456+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14%  339M 7s
[2024-03-26T08:23:43.476+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14%  236M 7s
[2024-03-26T08:23:43.481+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14%  225M 7s
[2024-03-26T08:23:43.482+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14%  233M 7s
[2024-03-26T08:23:43.487+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  188M 7s
[2024-03-26T08:23:43.495+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14% 6.03M 7s
[2024-03-26T08:23:43.497+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14% 25.0M 7s
[2024-03-26T08:23:43.498+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14% 1.43M 7s
[2024-03-26T08:23:43.500+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14%  319M 7s
[2024-03-26T08:23:43.505+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14%  304M 7s
[2024-03-26T08:23:43.506+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15%  378M 7s
[2024-03-26T08:23:43.514+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15%  343M 6s
[2024-03-26T08:23:43.514+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15%  449M 6s
[2024-03-26T08:23:43.515+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15%  299M 6s
[2024-03-26T08:23:43.536+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15%  342M 6s
[2024-03-26T08:23:43.537+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15%  345M 6s
