[2024-03-26T15:33:18.874+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7% 19.2M 9s
[2024-03-26T15:33:18.882+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7% 20.9M 8s
[2024-03-26T15:33:18.888+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7% 15.7M 8s
[2024-03-26T15:33:18.889+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7% 35.6M 8s
[2024-03-26T15:33:18.890+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7% 10.9M 8s
[2024-03-26T15:33:18.892+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7% 8.03M 8s
[2024-03-26T15:33:18.893+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7% 34.8M 8s
[2024-03-26T15:33:18.894+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8% 29.8M 8s
[2024-03-26T15:33:18.896+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8% 45.1M 8s
[2024-03-26T15:33:18.897+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8% 51.8M 8s
[2024-03-26T15:33:18.898+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8% 63.2M 8s
[2024-03-26T15:33:18.899+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8% 43.4M 8s
[2024-03-26T15:33:18.900+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8% 34.7M 8s
[2024-03-26T15:33:18.905+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8% 13.0M 7s
[2024-03-26T15:33:18.910+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8% 15.8M 7s
[2024-03-26T15:33:18.910+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  323M 7s
[2024-03-26T15:33:18.911+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8%  360M 7s
[2024-03-26T15:33:18.911+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9%  355M 7s
[2024-03-26T15:33:18.912+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9% 99.2M 7s
[2024-03-26T15:33:18.912+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9%  100M 7s
[2024-03-26T15:33:18.913+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 56.8M 7s
[2024-03-26T15:33:18.913+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9%  167M 7s
[2024-03-26T15:33:18.913+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9%  249M 7s
[2024-03-26T15:33:18.914+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9%  316M 7s
[2024-03-26T15:33:18.914+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9% 61.1M 7s
[2024-03-26T15:33:18.923+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9% 3.89M 7s
[2024-03-26T15:33:18.926+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9% 15.8M 7s
[2024-03-26T15:33:18.927+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10% 47.8M 7s
[2024-03-26T15:33:18.929+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10% 22.5M 6s
[2024-03-26T15:33:18.934+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10% 11.8M 6s
[2024-03-26T15:33:18.935+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 81.9M 6s
[2024-03-26T15:33:18.937+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10% 16.2M 6s
[2024-03-26T15:33:18.943+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10%  227M 6s
[2024-03-26T15:33:18.948+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10%  137M 6s
[2024-03-26T15:33:18.949+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10% 12.8M 6s
[2024-03-26T15:33:18.952+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10% 24.6M 6s
[2024-03-26T15:33:18.955+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10% 14.3M 6s
[2024-03-26T15:33:18.959+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11%  287M 6s
[2024-03-26T15:33:18.969+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 9.46M 6s
[2024-03-26T15:33:18.975+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 57.5M 6s
[2024-03-26T15:33:18.982+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11%  252M 6s
[2024-03-26T15:33:18.983+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 13.4M 6s
[2024-03-26T15:33:18.984+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 19.4M 6s
[2024-03-26T15:33:18.985+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11% 9.87M 6s
[2024-03-26T15:33:18.986+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11% 9.50M 6s
[2024-03-26T15:33:18.987+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11% 20.8M 6s
[2024-03-26T15:33:18.988+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11% 29.9M 6s
[2024-03-26T15:33:18.990+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12% 19.8M 6s
[2024-03-26T15:33:18.990+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12% 35.0M 6s
[2024-03-26T15:33:18.991+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12%  195M 6s
[2024-03-26T15:33:18.992+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12%  371M 6s
[2024-03-26T15:33:18.994+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12%  310M 6s
[2024-03-26T15:33:19.008+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12%  368M 5s
[2024-03-26T15:33:19.010+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 97.3M 5s
[2024-03-26T15:33:19.011+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12%  146M 5s
[2024-03-26T15:33:19.013+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12%  200M 5s
[2024-03-26T15:33:19.014+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12%  296M 5s
[2024-03-26T15:33:19.017+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13%  111M 5s
[2024-03-26T15:33:19.023+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13%  112M 5s
[2024-03-26T15:33:19.028+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 87.9M 5s
[2024-03-26T15:33:19.030+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13%  280M 5s
[2024-03-26T15:33:19.032+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13%  181M 5s
[2024-03-26T15:33:19.033+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 6.42M 5s
[2024-03-26T15:33:19.036+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13%  201M 5s
[2024-03-26T15:33:19.037+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13%  320M 5s
[2024-03-26T15:33:19.039+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13%  181M 5s
[2024-03-26T15:33:19.040+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13%  133M 5s
[2024-03-26T15:33:19.044+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14% 23.1M 5s
[2024-03-26T15:33:19.045+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14% 55.4M 5s
[2024-03-26T15:33:19.046+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14% 13.1M 5s
[2024-03-26T15:33:19.047+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14% 4.91M 5s
[2024-03-26T15:33:19.048+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  377M 5s
[2024-03-26T15:33:19.051+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14%  370M 5s
[2024-03-26T15:33:19.056+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14%  431M 5s
[2024-03-26T15:33:19.059+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14%  382M 5s
