[2024-03-29T11:28:59.158+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16%  333M 7s
[2024-03-29T11:28:59.166+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16%  351M 7s
[2024-03-29T11:28:59.167+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17%  317M 6s
[2024-03-29T11:28:59.175+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  314M 6s
[2024-03-29T11:28:59.176+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17%  264K 7s
[2024-03-29T11:28:59.176+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17%  353M 7s
[2024-03-29T11:28:59.178+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  434M 7s
[2024-03-29T11:28:59.233+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17%  287M 7s
[2024-03-29T11:28:59.238+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17%  381M 7s
[2024-03-29T11:28:59.291+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17%  400M 7s
[2024-03-29T11:28:59.341+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18%  632K 7s
[2024-03-29T11:28:59.351+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18%  222M 7s
[2024-03-29T11:28:59.366+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18%  295M 7s
[2024-03-29T11:28:59.448+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  814K 7s
[2024-03-29T11:28:59.465+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  253M 7s
[2024-03-29T11:28:59.494+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18%  274M 7s
[2024-03-29T11:28:59.496+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18% 21.7M 7s
[2024-03-29T11:28:59.505+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  278M 7s
[2024-03-29T11:28:59.561+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  305M 7s
[2024-03-29T11:28:59.566+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  235M 7s
[2024-03-29T11:28:59.570+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  249M 7s
[2024-03-29T11:28:59.574+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19% 4.22M 7s
[2024-03-29T11:28:59.581+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  118M 7s
[2024-03-29T11:28:59.582+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  809K 7s
[2024-03-29T11:28:59.583+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19% 1.08M 7s
[2024-03-29T11:28:59.603+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  146M 7s
[2024-03-29T11:28:59.615+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  298M 7s
[2024-03-29T11:28:59.617+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  232M 7s
[2024-03-29T11:28:59.644+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20%  304M 7s
[2024-03-29T11:28:59.650+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20%  213M 7s
[2024-03-29T11:28:59.661+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20%  213M 7s
[2024-03-29T11:28:59.680+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20% 13.1M 7s
[2024-03-29T11:28:59.704+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20%  268M 7s
[2024-03-29T11:28:59.709+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  847K 7s
[2024-03-29T11:28:59.781+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21%  294M 7s
