[2024-03-29T11:42:28.270+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17%  559M 10s
[2024-03-29T11:42:28.294+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18% 2.37M 10s
[2024-03-29T11:42:28.306+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18% 20.2M 9s
[2024-03-29T11:42:28.324+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18% 52.3M 9s
[2024-03-29T11:42:28.417+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  212K 10s
[2024-03-29T11:42:28.476+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  139M 10s
[2024-03-29T11:42:28.529+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18%  444M 10s
[2024-03-29T11:42:28.533+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18%  432M 10s
[2024-03-29T11:42:28.561+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  518M 10s
[2024-03-29T11:42:28.604+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  520M 10s
[2024-03-29T11:42:28.692+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  395M 10s
[2024-03-29T11:42:28.730+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  398M 10s
[2024-03-29T11:42:28.731+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19%  517M 10s
[2024-03-29T11:42:28.755+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  536M 10s
[2024-03-29T11:42:28.818+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  563M 10s
[2024-03-29T11:42:28.859+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19%  465M 9s
[2024-03-29T11:42:28.898+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  555M 9s
[2024-03-29T11:42:28.920+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  575M 9s
[2024-03-29T11:42:28.954+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  601M 9s
[2024-03-29T11:42:28.987+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20%  187K 10s
[2024-03-29T11:42:29.014+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20%  893K 10s
[2024-03-29T11:42:29.037+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20% 9.74M 10s
[2024-03-29T11:42:29.080+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20% 5.88M 10s
[2024-03-29T11:42:29.092+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20% 1.02M 10s
[2024-03-29T11:42:29.140+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  681K 10s
[2024-03-29T11:42:29.225+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21% 9.36M 10s
[2024-03-29T11:42:29.272+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21%  630K 11s
[2024-03-29T11:42:29.307+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21% 1.39M 11s
[2024-03-29T11:42:29.340+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21% 4.64M 11s
[2024-03-29T11:42:29.424+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21% 1.54M 11s
[2024-03-29T11:42:29.456+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21% 1.15M 11s
[2024-03-29T11:42:29.504+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21%  416M 11s
[2024-03-29T11:42:29.512+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22%  510K 11s
[2024-03-29T11:42:29.531+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22%  703M 11s
[2024-03-29T11:42:29.538+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22%  687M 11s
[2024-03-29T11:42:29.595+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22% 2.32M 11s
[2024-03-29T11:42:29.614+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22% 1.16M 11s
[2024-03-29T11:42:29.669+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22%  680M 11s
[2024-03-29T11:42:29.715+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22%  515M 11s
[2024-03-29T11:42:29.728+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  319M 11s
[2024-03-29T11:42:29.733+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23% 1.02M 11s
[2024-03-29T11:42:29.733+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  514M 11s
[2024-03-29T11:42:29.736+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23% 3.41M 11s
[2024-03-29T11:42:29.742+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23%  107M 10s
[2024-03-29T11:42:29.743+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23% 9.72M 10s
[2024-03-29T11:42:29.745+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23% 67.8M 10s
[2024-03-29T11:42:29.747+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23%  523M 10s
[2024-03-29T11:42:29.748+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24% 46.8M 10s
[2024-03-29T11:42:29.749+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24%  373M 10s
[2024-03-29T11:42:29.749+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24%  387M 10s
[2024-03-29T11:42:29.760+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24%  737M 10s
[2024-03-29T11:42:29.781+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24% 8.32M 10s
[2024-03-29T11:42:29.784+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  452M 10s
[2024-03-29T11:42:29.789+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24% 3.26M 10s
[2024-03-29T11:42:29.903+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24%  482M 10s
[2024-03-29T11:42:29.925+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25%  395M 10s
[2024-03-29T11:42:29.946+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 25% 2.60M 10s
[2024-03-29T11:42:29.974+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 25% 1.47M 10s
[2024-03-29T11:42:30.002+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 25% 3.69M 10s
