[2024-03-29T11:42:28.577+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16%  903K 10s
[2024-03-29T11:42:28.610+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16% 4.27M 10s
[2024-03-29T11:42:28.621+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16% 7.05M 10s
[2024-03-29T11:42:28.674+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16% 1.13M 10s
[2024-03-29T11:42:28.729+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16% 4.53M 10s
[2024-03-29T11:42:28.733+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17% 1.29M 10s
[2024-03-29T11:42:28.773+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  330M 10s
[2024-03-29T11:42:28.802+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17%  375M 10s
[2024-03-29T11:42:28.823+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17%  292M 10s
[2024-03-29T11:42:28.835+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  304M 10s
[2024-03-29T11:42:28.860+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17%  406M 10s
[2024-03-29T11:42:28.875+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17%  459M 10s
[2024-03-29T11:42:28.884+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17%  514M 10s
[2024-03-29T11:42:28.907+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18%  224M 10s
[2024-03-29T11:42:28.908+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18% 1.89M 10s
[2024-03-29T11:42:28.909+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18% 42.8M 9s
[2024-03-29T11:42:28.917+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  270M 9s
[2024-03-29T11:42:29.062+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  867K 10s
[2024-03-29T11:42:29.090+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18% 2.90M 10s
[2024-03-29T11:42:29.091+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18% 3.96M 10s
[2024-03-29T11:42:29.141+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  275M 9s
[2024-03-29T11:42:29.210+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  336M 9s
[2024-03-29T11:42:29.274+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  388M 9s
[2024-03-29T11:42:29.313+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  394M 9s
[2024-03-29T11:42:29.390+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19%  468M 9s
[2024-03-29T11:42:29.434+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  305M 9s
[2024-03-29T11:42:29.486+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  278M 9s
[2024-03-29T11:42:29.504+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19%  339M 9s
[2024-03-29T11:42:29.511+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  339M 9s
[2024-03-29T11:42:29.534+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  347M 9s
[2024-03-29T11:42:29.541+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  489M 9s
[2024-03-29T11:42:29.593+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20%  417M 9s
[2024-03-29T11:42:29.613+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20% 1.45M 9s
[2024-03-29T11:42:29.666+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20%  331M 9s
