[2024-04-02T13:54:15.767+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9% 16.1M 9s
[2024-04-02T13:54:15.770+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9% 23.7M 8s
[2024-04-02T13:54:15.772+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9% 47.5M 8s
[2024-04-02T13:54:15.774+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9% 11.6M 8s
[2024-04-02T13:54:15.776+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9% 30.2M 8s
[2024-04-02T13:54:15.777+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9% 46.4M 8s
[2024-04-02T13:54:15.779+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9% 54.6M 8s
[2024-04-02T13:54:15.781+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10% 35.6M 8s
[2024-04-02T13:54:15.782+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10% 29.3M 8s
[2024-04-02T13:54:15.784+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10% 16.5M 8s
[2024-04-02T13:54:15.787+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10% 24.7M 8s
[2024-04-02T13:54:15.789+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 17.7M 8s
[2024-04-02T13:54:15.790+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10% 28.6M 7s
[2024-04-02T13:54:15.793+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10% 19.9M 7s
[2024-04-02T13:54:15.796+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10% 13.1M 7s
[2024-04-02T13:54:15.798+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11% 34.3M 7s
[2024-04-02T13:54:15.799+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11% 43.3M 7s
[2024-04-02T13:54:15.802+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11% 19.0M 7s
[2024-04-02T13:54:15.804+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11% 23.6M 7s
[2024-04-02T13:54:15.806+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11% 58.2M 7s
[2024-04-02T13:54:15.807+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11% 28.9M 7s
[2024-04-02T13:54:15.809+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11% 26.0M 7s
[2024-04-02T13:54:15.811+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11% 21.2M 7s
[2024-04-02T13:54:15.813+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 28.6M 7s
[2024-04-02T13:54:15.816+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12% 34.8M 7s
[2024-04-02T13:54:15.818+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12% 39.2M 6s
