[2024-03-29T11:42:26.347+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8%  595K 15s
[2024-03-29T11:42:26.373+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8%  334M 15s
[2024-03-29T11:42:26.382+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8%  250M 14s
[2024-03-29T11:42:26.488+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9%  373M 14s
[2024-03-29T11:42:26.544+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9%  515M 14s
[2024-03-29T11:42:26.605+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9% 1.27M 14s
[2024-03-29T11:42:26.704+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9% 84.2M 14s
[2024-03-29T11:42:26.807+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9%  432M 14s
[2024-03-29T11:42:26.847+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9% 1.39M 14s
[2024-03-29T11:42:26.944+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9%  372M 14s
[2024-03-29T11:42:27.003+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10%  570M 14s
[2024-03-29T11:42:27.008+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10% 1.12M 14s
[2024-03-29T11:42:27.019+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10% 14.0M 14s
[2024-03-29T11:42:27.020+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10% 3.50M 13s
[2024-03-29T11:42:27.025+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 1.20M 14s
[2024-03-29T11:42:27.037+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10%  463M 13s
[2024-03-29T11:42:27.049+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10% 3.41M 13s
[2024-03-29T11:42:27.051+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10% 1.91M 13s
[2024-03-29T11:42:27.060+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11%  376M 13s
[2024-03-29T11:42:27.107+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11% 1.27M 13s
[2024-03-29T11:42:27.198+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11% 1.71M 13s
[2024-03-29T11:42:27.265+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11% 4.00M 13s
[2024-03-29T11:42:27.321+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11% 9.75M 13s
[2024-03-29T11:42:27.376+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11%  263M 13s
[2024-03-29T11:42:27.390+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11% 5.21M 13s
[2024-03-29T11:42:27.412+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  451M 13s
[2024-03-29T11:42:27.441+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 1.25M 13s
[2024-03-29T11:42:27.490+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12% 8.00M 13s
[2024-03-29T11:42:27.496+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12% 82.1M 13s
[2024-03-29T11:42:27.502+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12%  112M 13s
[2024-03-29T11:42:27.525+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 25.6M 12s
