[2024-03-28T10:04:40.919+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12%  260M 8s
[2024-03-28T10:04:40.944+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12%  390M 8s
[2024-03-28T10:04:40.956+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12%  361M 8s
[2024-03-28T10:04:40.970+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12% 1.20M 8s
[2024-03-28T10:04:40.971+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12% 2.84M 8s
[2024-03-28T10:04:40.975+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12% 9.58M 8s
[2024-03-28T10:04:40.983+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 3.36M 8s
[2024-03-28T10:04:40.995+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12% 22.5M 8s
[2024-03-28T10:04:40.998+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12% 6.52M 8s
[2024-03-28T10:04:41.003+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12% 4.72M 8s
[2024-03-28T10:04:41.005+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13% 8.82M 8s
[2024-03-28T10:04:41.012+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13% 15.1M 8s
[2024-03-28T10:04:41.018+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 26.6M 8s
[2024-03-28T10:04:41.045+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13% 48.4M 8s
[2024-03-28T10:04:41.062+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13% 54.2M 8s
[2024-03-28T10:04:41.084+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 6.84M 8s
[2024-03-28T10:04:41.087+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13% 43.0M 8s
[2024-03-28T10:04:41.097+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13%  201M 8s
[2024-03-28T10:04:41.102+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13%  203M 8s
[2024-03-28T10:04:41.112+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13%  188M 8s
[2024-03-28T10:04:41.122+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14%  172M 8s
[2024-03-28T10:04:41.138+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14%  273M 8s
[2024-03-28T10:04:41.146+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14%  167M 7s
[2024-03-28T10:04:41.154+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14%  218M 7s
[2024-03-28T10:04:41.155+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  202M 7s
[2024-03-28T10:04:41.155+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14%  216M 7s
[2024-03-28T10:04:41.166+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14%  226M 7s
[2024-03-28T10:04:41.176+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14%  109M 7s
[2024-03-28T10:04:41.180+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14%  910K 7s
[2024-03-28T10:04:41.210+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14% 6.02M 7s
[2024-03-28T10:04:41.214+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15% 6.16M 7s
[2024-03-28T10:04:41.226+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15% 65.0M 7s
[2024-03-28T10:04:41.247+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15% 4.59M 7s
[2024-03-28T10:04:41.250+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15%  223M 7s
[2024-03-28T10:04:41.257+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15%  514M 7s
[2024-03-28T10:04:41.285+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15%  476M 7s
[2024-03-28T10:04:41.306+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15% 4.68M 7s
[2024-03-28T10:04:41.322+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15% 32.0M 7s
[2024-03-28T10:04:41.351+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  294M 7s
[2024-03-28T10:04:41.363+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15% 30.4M 7s
[2024-03-28T10:04:41.371+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16% 10.7M 7s
[2024-03-28T10:04:41.382+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16%  360M 7s
[2024-03-28T10:04:41.388+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16% 20.9M 7s
[2024-03-28T10:04:41.391+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  292M 7s
[2024-03-28T10:04:41.400+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16%  263M 7s
[2024-03-28T10:04:41.414+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16% 8.03M 7s
[2024-03-28T10:04:41.426+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16% 6.96M 7s
