[2024-03-29T11:42:25.618+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10%  618K 14s
[2024-03-29T11:42:25.621+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10%  339M 14s
[2024-03-29T11:42:25.630+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10%  417M 14s
[2024-03-29T11:42:25.637+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10%  517M 14s
[2024-03-29T11:42:25.639+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10%  514M 13s
[2024-03-29T11:42:25.640+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10%  509M 13s
[2024-03-29T11:42:25.641+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11%  208M 13s
[2024-03-29T11:42:25.644+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11%  384M 13s
[2024-03-29T11:42:25.647+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11%  511M 13s
[2024-03-29T11:42:25.650+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11%  609K 13s
[2024-03-29T11:42:25.652+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11% 42.7M 13s
[2024-03-29T11:42:25.703+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11%  727M 13s
[2024-03-29T11:42:25.737+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11%  746M 13s
[2024-03-29T11:42:25.916+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  746M 13s
[2024-03-29T11:42:25.924+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 15.2M 13s
[2024-03-29T11:42:26.040+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12% 13.6M 12s
