[2024-03-26T08:25:16.863+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13% 38.2M 6s
[2024-03-26T08:25:16.883+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13% 39.1M 6s
[2024-03-26T08:25:16.898+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 5.08M 6s
[2024-03-26T08:25:16.900+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13% 6.75M 6s
[2024-03-26T08:25:16.917+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13%  153M 6s
[2024-03-26T08:25:16.921+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13%  215M 6s
[2024-03-26T08:25:17.035+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13%  213M 6s
[2024-03-26T08:25:17.054+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14%  289M 6s
[2024-03-26T08:25:17.089+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14%  188M 6s
[2024-03-26T08:25:17.139+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14%  249M 6s
[2024-03-26T08:25:17.159+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14% 3.20M 6s
[2024-03-26T08:25:17.161+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14% 74.5M 6s
[2024-03-26T08:25:17.178+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14%  388M 6s
[2024-03-26T08:25:17.179+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14%  390M 6s
[2024-03-26T08:25:17.179+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14%  287M 6s
[2024-03-26T08:25:17.179+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14%  359M 6s
[2024-03-26T08:25:17.180+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14% 46.6M 6s
[2024-03-26T08:25:17.180+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15% 37.3M 6s
[2024-03-26T08:25:17.180+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15%  116M 6s
[2024-03-26T08:25:17.181+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15%  125M 6s
[2024-03-26T08:25:17.181+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15% 8.68M 6s
[2024-03-26T08:25:17.182+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15% 20.0M 6s
[2024-03-26T08:25:17.183+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15% 5.52M 6s
[2024-03-26T08:25:17.183+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15%  135M 6s
[2024-03-26T08:25:17.185+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15%  298M 5s
[2024-03-26T08:25:17.185+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  140M 5s
[2024-03-26T08:25:17.186+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15%  247M 5s
[2024-03-26T08:25:17.188+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16%  400M 5s
[2024-03-26T08:25:17.210+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16%  285M 5s
[2024-03-26T08:25:17.213+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16%  379M 5s
[2024-03-26T08:25:17.217+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  307M 5s
[2024-03-26T08:25:17.222+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16% 13.0M 5s
[2024-03-26T08:25:17.232+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16% 36.9M 5s
[2024-03-26T08:25:17.236+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16% 25.2M 5s
[2024-03-26T08:25:17.240+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16% 32.1M 5s
[2024-03-26T08:25:17.249+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16% 33.6M 5s
[2024-03-26T08:25:17.259+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16% 20.6M 5s
[2024-03-26T08:25:17.270+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17% 33.7M 5s
[2024-03-26T08:25:17.279+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17% 21.9M 5s
[2024-03-26T08:25:17.281+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17% 31.4M 5s
[2024-03-26T08:25:17.298+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17% 18.9M 5s
[2024-03-26T08:25:17.304+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17% 2.37M 5s
[2024-03-26T08:25:17.321+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17%  257M 5s
[2024-03-26T08:25:17.322+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17%  289M 5s
[2024-03-26T08:25:17.322+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17% 23.9M 5s
[2024-03-26T08:25:17.323+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17% 15.0M 5s
[2024-03-26T08:25:17.326+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  337M 5s
[2024-03-26T08:25:17.326+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18%  369M 5s
[2024-03-26T08:25:17.327+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18%  334M 5s
[2024-03-26T08:25:17.327+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18%  185M 5s
[2024-03-26T08:25:17.328+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18% 4.48M 5s
[2024-03-26T08:25:17.328+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  202M 5s
[2024-03-26T08:25:17.329+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18%  253M 5s
[2024-03-26T08:25:17.330+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18%  188M 5s
[2024-03-26T08:25:17.330+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18%  294M 5s
[2024-03-26T08:25:17.333+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18%  272M 5s
[2024-03-26T08:25:17.333+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18% 3.07M 5s
[2024-03-26T08:25:17.345+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 14.2M 5s
